index,basin_id,basin,river_id,river,total_length,length_peru,source_place_id,source_place,source_altitude,mouth_place_id,mouth_place,mouth-altitude
147,0.6,Titicaca,147,Río Grande,51.81,51.81,21,Puno,4796,21,Puno,"3,889"
153,0.6,Titicaca,153,Río Huancamaya,46.84,46.84,21,Puno,5011,21,Puno,"3,953"
154,0.6,Titicaca,154,Río Huancané,136.27,136.27,21,Puno,4752,21,Puno,"3,820"
162,0.5,Pacific,162,Río Ichuña,64.87,64.87,21,Puno,4917,18,Moquegua,"3,566"
164,0.6,Titicaca,164,Río Ilave,208.88,208.88,21,Puno,5002,21,Puno,"3,820"
166,0.6,Titicaca,166,Río Ilpa,99.38,99.38,21,Puno,4655,21,Puno,"3,815"
167,0.4,Amazonas,167,Río Inambari,435.53,435.53,21,Puno,4965,17,Madre de Dios,198
169,0.6,Titicaca,169,Río Irpa,18.23,18.23,21,Puno,4283,21,Puno,"3,965"
171,0.6,Titicaca,171,Río Jacha Mauri,106.03,62.04,21,Puno,4643,Bo,Bolivia,"3,821"
172,0.6,Titicaca,172,Río Japo,18.7,18.7,21,Puno,4918,21,Puno,"4,047"
175,0.6,Titicaca,175,Río Jollojahuira,22.34,22.34,21,Puno,4928,21,Puno,"3,978"
177,0.6,Titicaca,177,Río Lacatuyoc,18.11,18.11,21,Puno,4594,21,Puno,"3,962"
178,0.6,Titicaca,178,Río Lampa,96.59,96.59,21,Puno,5056,21,Puno,"3,830"
180,0.6,Titicaca,180,Río Lizani,25.16,25.16,21,Puno,4923,21,Puno,"4,004"
181,0.6,Titicaca,181,Río Llache,39.01,39.01,21,Puno,4621,21,Puno,"3,830"
182,0.6,Titicaca,182,Río Lloquecolla,68.97,68.97,21,Puno,4779,21,Puno,"3,858"
183,0.6,Titicaca,183,Río Llusta,35.45,35.45,21,Puno,4906,21,Puno,"4,023"
195,0.6,Titicaca,195,Río Maure,132.79,101.08,21,Puno,4835,Bo,Bolivia,"3,961"
210,0.6,Titicaca,210,Río Ocohuichinca,11.57,11.57,21,Puno,4611,21,Puno,"4,487"
216,0.6,Titicaca,216,Río Palcamayo,54.4,54.4,21,Puno,4846,21,Puno,"3,908"
218,0.6,Titicaca,218,Río Palcoma,10.39,10.39,21,Puno,4610,21,Puno,"3,967"
229,0.6,Titicaca,229,Río Pichacani,57.81,57.81,21,Puno,4538,21,Puno,"3,909"
233,0.6,Titicaca,233,Río Pistune,51.13,51.13,21,Puno,4739,21,Puno,"3,867"
237,0.6,Titicaca,237,Río Pucará,233.91,233.91,21,Puno,4899,21,Puno,"3,831"
240,0.6,Titicaca,240,Río Queñamichi,12.07,12.07,21,Puno,4712,21,Puno,"3,967"
242,0.6,Titicaca,242,Río Quilcamayo,59.1,59.1,21,Puno,4486,21,Puno,"3,853"
243,0.6,Titicaca,243,Río Quillliri,22.02,22.02,21,Puno,4996,21,Puno,"3,983"
245,0.6,Titicaca,245,Río Ramis-Titicaca-Desaguadero,1345.24,456.99,21,Puno,4728,Bo,Bolivia,"4,545"
249,0.6,Titicaca,249,Río Sacuyo,68.37,68.37,21,Puno,4664,21,Puno,"3,873"
265,0.6,Titicaca,265,Río Suches,179.69,113.29,21,Puno,4836,Bo,Bolivia,"3,823"
269,0.6,Titicaca,269,Río Taaque,10.26,10.26,21,Puno,4802,21,Puno,"4,001"
276,0.5,Pacific,276,Río Tambo,297.34,297.34,21,Puno,4555,4,Arequipa,9
277,0.4,Amazonas,277,Río Tambopata,337.87,337.87,21,Puno,1190,17,Madre de Dios,177
282,0.6,Titicaca,282,Río Tulajahuira,15.03,15.03,21,Puno,4143,21,Puno,"3,955"
286,0.6,Titicaca,286,Río Tupala,22.74,22.74,21,Puno,4451,21,Puno,"4,048"
288,0.6,Titicaca,288,Río Tuyto,90.9,90.9,21,Puno,4311,21,Puno,"3,831"
291,0.6,Titicaca,291,Río Uncallane,114.61,114.61,21,Puno,4847,21,Puno,"3,869"
299,0.6,Titicaca,299,Río Ventilla,55.64,55.64,21,Puno,4584,21,Puno,"3,876"
300,0.6,Titicaca,300,Río Verde,37.95,37.95,21,Puno,5032,21,Puno,"4,204"
303,0.6,Titicaca,303,Río Viluta,9.79,9.79,21,Puno,4622,21,Puno,"4,205"
79,0.4,Amazonas,79,Río Biabo,373.96,373.96,22,San Martín,1361,22,San Martín,229
196,0.4,Amazonas,196,Río Mayo,362.79,362.79,22,San Martín,1673,22,San Martín,191
4,0.5,Pacific,4,Quebrada Botijas,54.63,54.63,23,Tacna,1519,23,Tacna,53
7,0.5,Pacific,7,Quebrada Cauñani,65.81,65.81,23,Tacna,4310,23,Tacna,238
