index,year,natural_region_id,natural_region,activity_id_temperature,temperature_celsius,activity_id_humidity,avg_humidity,activity_rain,rain_mlm
72,2019,0.1,Coast,1,21.95,2,0,rain_mlm,62
73,2020,0.1,Coast,1,0,2,0,rain_mlm,0
74,2020,0.3,Rainforest,1,0,2,0,rain_mlm,0
75,2020,0.2,Highland,1,0,2,0,rain_mlm,0
76,2021,0.3,Rainforest,1,23.51083333,2,0,rain_mlm,0
77,2021,0.2,Highland,1,14.39745961,2,0,rain_mlm,0
78,2021,0.1,Coast,1,20.94021927,2,0,rain_mlm,0
79,2022,0.2,Highland,1,13.8,2,0,rain_mlm,0
80,2022,0.1,Coast,1,20.1,2,0,rain_mlm,0
81,2022,0.3,Rainforest,1,23.6,2,0,rain_mlm,0
