index,year,region_id,region,activity_temperature_id,annual_celsius,activity_humidity_id,annual_avg,activity_rain_id,annual_mlm
95,2015,20,Piura,1,26.06454545,2,76.08090909,3,0
96,2015,21,Puno,1,10.32333333,2,67.7125,3,703.1
97,2015,22,San Martin,1,22.93,2,83.3775,3,1673.8
98,2015,23,Tacna,1,18.845,2,79.61166667,3,38.8
99,2015,24,Tumbes,1,27.21083333,2,77.80090909,3,459.7
100,2015,25,Ucayali,1,25.96545455,2,88.37,3,1944.3
101,2016,1,Amazonas,1,15.6,2,77.7,3,649.1
102,2016,2,Ancash,1,13.1,2,75,3,559.4
103,2016,3,Apurimac,1,14.9,2,80.2,3,887.4
104,2016,4,Arequipa,1,17.3,2,47,3,63.7
105,2016,5,Ayacucho,1,18.8,2,77.5,3,390.3
106,2016,6,Cajamarca,1,15.6,2,63.7,3,522.8
107,2016,7,Callao,1,0,2,0,3,0
108,2016,8,Cusco,1,13.3,2,64.2,3,548.1
109,2016,9,Huancavelica,1,10.8,2,83.6,3,733.3
110,2016,10,Huanuco,1,21.4,2,62.1,3,307.2
111,2016,11,Ica,1,22.9,2,67.5,3,0.3
112,2016,12,Junin,1,13,2,55.7,3,0
113,2016,13,La Libertad,1,21.2,2,84.9,3,17.1
114,2016,14,Lambayeque,1,22.4,2,81.9,3,16.2
115,2016,15,Lima,1,20.3,2,85.3,3,7.5
116,2016,16,Loreto,1,27.5,2,89.7,3,2885.6
117,2016,17,Madre de Dios,1,27,2,92,3,0
118,2016,18,Moquegua,1,…,2,…,3,5.6
119,2016,19,Pasco,1,6,2,84.9,3,829.4
120,2016,20,Piura,1,26,2,71.9,3,0
121,2016,21,Puno,1,10.9,2,62.2,3,524.5
122,2016,22,San Martin,1,23.6,2,81.1,3,1334.8
123,2016,23,Tacna,1,18.8,2,75.5,3,10.9
124,2016,24,Tumbes,1,26.9,2,79.3,3,588.1
125,2016,25,Ucayali,1,26,2,87.5,3,2010.1
126,2017,1,Amazonas,1,15.16,2,79.24666667,3,907.1
127,2017,2,Ancash,1,12.30083333,2,76.445,3,1181.3
128,2017,3,Apurimac,1,14.28416667,2,80.66166667,3,941.6
129,2017,4,Arequipa,1,16.58833333,2,50.94833333,3,212.1
130,2017,5,Ayacucho,1,18.13888889,2,62.87333333,3,0
131,2017,6,Cajamarca,1,15.04416667,2,63.8425,3,767.5
132,2017,7,Callao,1,0,2,0,3,0
133,2017,8,Cusco,1,13.04416667,2,68.235,3,0
134,2017,9,Huancavelica,1,10.36,2,85.2075,3,0
135,2017,10,Huanuco,1,20.9125,2,64.63916667,3,497.5
136,2017,11,Ica,1,22.70583333,2,66.89166667,3,39
137,2017,12,Junin,1,12.75916667,2,57.62083333,3,0
138,2017,13,La Libertad,1,20.87636364,2,85.50272727,3,83.2
139,2017,14,Lambayeque,1,22.01666667,2,80.51833333,3,202.6
140,2017,15,Lima,1,20.07416667,2,86.16083333,3,11.3
141,2017,16,Loreto,1,27.525,2,89.03666667,3,2667.7
142,2017,17,Madre de Dios,1,26.9775,2,92.91083333,3,2325
143,2017,18,Moquegua,1,…,2,…,3,27.5
144,2017,19,Pasco,1,5.514444444,2,84.6275,3,0
145,2017,20,Piura,1,24.95909091,2,72.73818182,3,0
146,2017,21,Puno,1,10.5625,2,60.555,3,868.9
147,2017,22,San Martin,1,23.06416667,2,82.53166667,3,1473.4
148,2017,23,Tacna,1,18.492,2,80.633,3,38.4
149,2017,24,Tumbes,1,25.799,2,85.792,3,817
150,2017,25,Ucayali,1,25.9025,2,87.87416667,3,2329.5
151,2018,1,Amazonas,1,14.85,2,80.43333333,3,989
152,2018,2,Ancash,1,12.03333333,2,73.85833333,3,1069.7
153,2018,3,Apurimac,1,14.2,2,80.475,3,1009.1
154,2018,4,Arequipa,1,16.61666667,2,48.34166667,3,26.9
155,2018,5,Ayacucho,1,17.08333333,2,63.46666667,3,629.2
156,2018,6,Cajamarca,1,14.86666667,2,61.95833333,3,730.4
157,2018,7,Callao,1,0,2,0,3,0
158,2018,8,Cusco,1,12.59166667,2,69.65833333,3,788.5
159,2018,9,Huancavelica,1,10.35,2,86.28333333,3,1041.1
160,2018,10,Huanuco,1,20.24166667,2,66.39166667,3,571.3
161,2018,11,Ica,1,22.36666667,2,66.825,3,4.4
162,2018,12,Junin,1,12.34166667,2,59.33333333,3,736
163,2018,13,La Libertad,1,20.025,2,85.41666667,3,14.1
164,2018,14,Lambayeque,1,20.925,2,81.68333333,3,16.2
165,2018,15,Lima,1,19.475,2,87.275,3,21.4
