index,year,region_id,region,annual_temperature_celsius
181,2019,6,Cajamarca,14.95833333
182,2019,7,Callao,0
183,2019,8,Cusco,12.89166667
184,2019,9,Huancavelica,10.73333333
185,2019,10,Huanuco,20.44166667
186,2019,11,Ica,22.11666667
187,2019,12,Junin,12.34545455
188,2019,13,La Libertad,20.61666667
189,2019,14,Lambayeque,21.45
190,2019,15,Lima,19.575
191,2019,16,Loreto,27.35
192,2019,17,Madre de Dios,26.625
193,2019,18,Moquegua,20.025
194,2019,19,Pasco,5.458333333
195,2019,20,Piura,25.38333333
196,2019,21,Puno,10.71666667
197,2019,22,San Martin,22.95
198,2019,23,Tacna,18.21666667
199,2019,24,Tumbes,26.29166667
200,2019,25,Ucayali,25.73333333
201,2020,1,Amazonas,15.34166667
202,2020,2,Ancash,…
203,2020,3,Apurimac,…
204,2020,4,Arequipa,…
205,2020,5,Ayacucho,18.19
206,2020,6,Cajamarca,15.45555556
207,2020,7,Callao,0
208,2020,8,Cusco,14.01
209,2020,9,Huancavelica,11.07142857
210,2020,10,Huanuco,21.07777778
211,2020,11,Ica,22.67142857
212,2020,12,Junin,13.25
213,2020,13,La Libertad,20.16666667
214,2020,14,Lambayeque,20.81111111
215,2020,15,Lima,…
216,2020,16,Loreto,27.63333333
217,2020,17,Madre de Dios,27.54
218,2020,18,Moquegua,…
219,2020,19,Pasco,…
220,2020,20,Piura,…
221,2020,21,Puno,…
222,2020,22,San Martin,…
223,2020,23,Tacna,18.82222222
224,2020,24,Tumbes,…
225,2020,25,Ucayali,…
226,2021,1,Amazonas,14.99166667
227,2021,2,Ancash,11.15982137
228,2021,3,Apurimac,13.5793164
229,2021,4,Arequipa,16.24166667
230,2021,5,Ayacucho,17.44166667
231,2021,6,Cajamarca,14.90833333
232,2021,7,Callao,0
233,2021,8,Cusco,14.04
234,2021,9,Huancavelica,10.29166667
235,2021,10,Huanuco,20.825
236,2021,11,Ica,22.04
237,2021,12,Junin,12.68333333
238,2021,13,La Libertad,19.70833333
239,2021,14,Lambayeque,20.51666667
240,2021,15,Lima,18.47743939
241,2021,16,Loreto,27.49166667
242,2021,17,Madre de Dios,26.54545455
243,2021,18,Moquegua,18.60832098
244,2021,19,Pasco,…
245,2021,20,Piura,23.775
246,2021,21,Puno,9.67736485
247,2021,22,San Martin,23.06
248,2021,23,Tacna,17.75833333
249,2021,24,Tumbes,24.50833333
250,2021,25,Ucayali,25.68333333
251,2022,1,Amazonas,15
252,2022,2,Ancash,11.1
253,2022,3,Apurimac,15.6
254,2022,4,Arequipa,16
255,2022,5,Ayacucho,17.7
256,2022,6,Cajamarca,14.8
257,2022,7,Callao,0
258,2022,8,Cusco,12.5
259,2022,9,Huancavelica,10.7
260,2022,10,Huanuco,20.9
261,2022,11,Ica,20.8
262,2022,12,Junin,12.5
263,2022,13,La Libertad,18.8
264,2022,14,Lambayeque,19.8
265,2022,15,Lima,18
266,2022,16,Loreto,27.3
267,2022,17,Madre de Dios,26.1
268,2022,18,Moquegua,19.4
269,2022,19,Pasco,5.4
270,2022,20,Piura,22.5
271,2022,21,Puno,9.7
272,2022,22,San Martin,23.3
273,2022,23,Tacna,17.5
274,2022,24,Tumbes,24.2
275,2022,25,Ucayali,26.1
