index,year,regions_id,regions,total_extension,total_units,total_units_>5ha,extension_units_>5ha,total_units_<5ha,extension_units_<5ha
1,2022,0,Nacional,468558.614753642,205332.558039841,8258.44783094598,170666.808428742,197074.110208895,297891.806324922
2,2022,0.1,Costa,343938.488973879,111153.535242522,6561.32449788164,116969.984109605,104592.21074464,226968.50486427
3,2022,0.2,Sierra,67230.9766059764,90334.1171517331,509.804981684982,5786.69972527473,89824.3121700481,61444.2768807017
4,2022,0.3,Selva,57389.1491738257,3844.90564558727,1187.31835137937,47910.1245938617,2657.5872942079,9479.02457996397
5,2022,1,Amazonas,21777.350933576,1517.59526043063,516.826190476191,18181.6297619048,1000.76906995444,3595.72117167129
6,2022,2,Áncash,27913.9524778514,20604.2773809524,392.815266875981,7185.79883369089,20211.4621140764,20728.1536441605
7,2022,3,Apurímac,1676.05665554905,3819.70272762951,0,0,3819.70272762951,1676.05665554905
8,2022,4,Arequipa,49634.7670514223,20765.0642573695,942.569841269841,12189.7176060067,19822.4944160997,37445.0494454158
9,2022,5,Ayacucho,5305.60095998687,10496.2339366516,0,0,10496.2339366516,5305.60095998687
10,2022,6,Cajamarca,6448.74950741087,6661.08725868726,0,0,6661.08725868726,6448.74950741087
11,2022,7,Callao,0,0,0,0,0,0
12,2022,8,Cusco,2754.62662046672,6451.84001709402,0,0,6451.84001709402,2754.62662046672
13,2022,9,Huancavelica,1019.17559342886,1947.32970521542,0,0,1947.32970521542,1019.17559342886
14,2022,10,Huánuco,2859.57996718471,3174.00481423339,0,0,3174.00481423339,2859.57996718471
15,2022,11,Ica,46583.477895012,20621.6459710562,1246.99704079704,19830.0788900363,19374.6489302591,26753.3990049755
16,2022,12,Junín,9981.50746342288,6306.98373626373,84.5764102564103,1268.64615384615,6222.40732600732,8712.86130957672
17,2022,13,La Libertad,53674.2941321713,15617.3317430935,1337.01729055259,25813.8866043885,14280.3144525409,27860.4075277829
18,2022,14,Lambayeque,55717.0710937628,17729.761548568,977.864642121164,20268.3357727252,16751.8969064468,35448.7353210379
19,2022,15,Lima,68231.7568413981,32104.1556164887,1137.29410063621,14666.5399910164,30966.8615158525,53565.2168503816
20,2022,16,Loreto,222.755938037866,0,0,0,0,222.755938037866
21,2022,17,Madre de Dios,156.07192984502,13.7293233082707,0,70.6666666666667,13.7293233082707,85.405263178353
22,2022,18,Moquegua,1828.42757078422,4014.61209422761,8.93333333333333,44.6666666666667,4005.67876089428,1783.76090411755
23,2022,19,Pasco,311.18752107433,758.13204196933,0,0,758.13204196933,311.18752107433
24,2022,20,Piura,40603.8380805215,19254.9870229968,428.469841269841,6052.13650793651,18826.517181727,34551.701572585
25,2022,21,Puno,0,0,0,0,0,0
26,2022,22,San Martín,27806.6862714112,1568.55655992753,588.518177163339,22293.3440189489,980.038382764189,5513.34225246232
27,2022,23,Tacna,14057.8753437017,6767.97878979996,179.8375,4991.58079462759,6588.14128979996,9066.29454907407
28,2022,24,Tumbes,22497.5768568688,5033.61693306693,334.754212454212,10445.2960139394,4698.86272061272,12052.2808429293
29,2022,25,Ucayali,7496.22804878049,103.931300813008,81.9739837398374,7364.48414634147,21.9573170731707,131.743902439024
