continent,continent_id,country,country_id,iso_3,product_name,trade_value
Asia,as,United Arab Emirates,asare,are,Bananas,117171219
Asia,as,Armenia,asarm,arm,Bananas,2225372
Asia,as,Azerbaijan,asaze,aze,Bananas,6852398
Asia,as,Bangladesh,asbgd,bgd,Bananas,19
Asia,as,Bahrain,asbhr,bhr,Bananas,3774737
Asia,as,Brunei,asbrn,brn,Bananas,91373
Asia,as,Bhutan,asbtn,btn,Bananas,1865
Asia,as,China,aschn,chn,Bananas,831035997
Asia,as,Cyprus,ascyp,cyp,Bananas,7295315
Asia,as,Georgia,asgeo,geo,Bananas,25833960
Asia,as,Hong Kong,ashkg,hkg,Bananas,33101099
Asia,as,Indonesia,asidn,idn,Bananas,55215
Asia,as,India,asind,ind,Bananas,64587
Asia,as,Iran,asirn,irn,Bananas,92855296
Asia,as,Iraq,asirq,irq,Bananas,95855932
Asia,as,Israel,asisr,isr,Bananas,98928
Asia,as,Jordan,asjor,jor,Bananas,30305387
Asia,as,Japan,asjpn,jpn,Bananas,646310486
Asia,as,Kazakhstan,askaz,kaz,Bananas,18556896
Asia,as,Kyrgyzstan,askgz,kgz,Bananas,3006444
Asia,as,Cambodia,askhm,khm,Bananas,1841
Asia,as,South Korea,askor,kor,Bananas,241899058
Asia,as,Kuwait,askwt,kwt,Bananas,63105601
Asia,as,Laos,aslao,lao,Bananas,243967
Asia,as,Lebanon,aslbn,lbn,Bananas,25442
Asia,as,Sri Lanka,aslka,lka,Bananas,256
Asia,as,Macau,asmac,mac,Bananas,1827660
Asia,as,Maldives,asmdv,mdv,Bananas,913351
Asia,as,Burma,asmmr,mmr,Bananas,4448
Asia,as,Mongolia,asmng,mng,Bananas,1494419
Asia,as,Malaysia,asmys,mys,Bananas,7642676
Asia,as,Nepal,asnpl,npl,Bananas,3461417
Asia,as,Oman,asomn,omn,Bananas,16913430
Asia,as,Pakistan,aspak,pak,Bananas,264808
Asia,as,Philippines,asphl,phl,Bananas,125209
Asia,as,North Korea,asprk,prk,Bananas,4982206
Asia,as,Palestine,aspse,pse,Bananas,19387
Asia,as,Qatar,asqat,qat,Bananas,12712265
Asia,as,Saudi Arabia,assau,sau,Bananas,130338964
Asia,as,Singapore,assgp,sgp,Bananas,19391772
Asia,as,Syria,assyr,syr,Bananas,22018283
Asia,as,Thailand,astha,tha,Bananas,884547
Asia,as,Tajikistan,astjk,tjk,Bananas,568790
Asia,as,Turkey,astur,tur,Bananas,175883356
Asia,as,Uzbekistan,asuzb,uzb,Bananas,3362372
Asia,as,Vietnam,asvnm,vnm,Bananas,295770
Asia,as,Yemen,asyem,yem,Bananas,217
Asia,as,United Arab Emirates,asare,are,Berries,16201933
Asia,as,Armenia,asarm,arm,Berries,325311
Asia,as,Azerbaijan,asaze,aze,Berries,353956
Asia,as,Bangladesh,asbgd,bgd,Berries,8913
Asia,as,Bahrain,asbhr,bhr,Berries,758717
Asia,as,Brunei,asbrn,brn,Berries,213299
Asia,as,Bhutan,asbtn,btn,Berries,1731
Asia,as,China,aschn,chn,Berries,229026655
Asia,as,Christmas Island,ascxr,cxr,Berries,447
Asia,as,Cyprus,ascyp,cyp,Berries,466970
Asia,as,Georgia,asgeo,geo,Berries,282631
Asia,as,Hong Kong,ashkg,hkg,Berries,121866556
Asia,as,Indonesia,asidn,idn,Berries,1541077
Asia,as,India,asind,ind,Berries,1705952
Asia,as,Iran,asirn,irn,Berries,2859
Asia,as,Iraq,asirq,irq,Berries,277887
Asia,as,Israel,asisr,isr,Berries,5733913
Asia,as,Jordan,asjor,jor,Berries,278533
Asia,as,Japan,asjpn,jpn,Berries,19383129
Asia,as,Kazakhstan,askaz,kaz,Berries,472578
Asia,as,Kyrgyzstan,askgz,kgz,Berries,13994
Asia,as,Cambodia,askhm,khm,Berries,70429
Asia,as,South Korea,askor,kor,Berries,27242337
Asia,as,Kuwait,askwt,kwt,Berries,1632809
Asia,as,Lebanon,aslbn,lbn,Berries,258547
Asia,as,Sri Lanka,aslka,lka,Berries,169
Asia,as,Macau,asmac,mac,Berries,1911604
Asia,as,Maldives,asmdv,mdv,Berries,523447
Asia,as,Burma,asmmr,mmr,Berries,26487
Asia,as,Mongolia,asmng,mng,Berries,85677
Asia,as,Malaysia,asmys,mys,Berries,8743629
Asia,as,Nepal,asnpl,npl,Berries,5595
Asia,as,Oman,asomn,omn,Berries,602486
Asia,as,Pakistan,aspak,pak,Berries,988
Asia,as,Philippines,asphl,phl,Berries,99877
Asia,as,Qatar,asqat,qat,Berries,2558121
Asia,as,Saudi Arabia,assau,sau,Berries,6579832
Asia,as,Singapore,assgp,sgp,Berries,22074384
Asia,as,Thailand,astha,tha,Berries,4639625
Asia,as,Timor-Leste,astls,tls,Berries,2856
Asia,as,Turkey,astur,tur,Berries,1443907
Asia,as,Uzbekistan,asuzb,uzb,Berries,21705
Asia,as,Vietnam,asvnm,vnm,Berries,1995978
Asia,as,Chinese Taipei,asxxb,,Berries,14227747
Asia,as,Yemen,asyem,yem,Berries,15431
Asia,as,Afghanistan,asafg,afg,Tangerines,43287
Asia,as,United Arab Emirates,asare,are,Tangerines,66848456
Asia,as,Armenia,asarm,arm,Tangerines,8029037
Asia,as,Azerbaijan,asaze,aze,Tangerines,3055245
Asia,as,Bangladesh,asbgd,bgd,Tangerines,46480178
Asia,as,Bahrain,asbhr,bhr,Tangerines,4362166
Asia,as,Brunei,asbrn,brn,Tangerines,1921241
Asia,as,China,aschn,chn,Tangerines,106348485
Asia,as,Christmas Island,ascxr,cxr,Tangerines,707
Asia,as,Cyprus,ascyp,cyp,Tangerines,922345
Asia,as,Georgia,asgeo,geo,Tangerines,5181729
Asia,as,Hong Kong,ashkg,hkg,Tangerines,36837024
Asia,as,Indonesia,asidn,idn,Tangerines,162027831
Asia,as,India,asind,ind,Tangerines,5450081
Asia,as,Iran,asirn,irn,Tangerines,152
Asia,as,Iraq,asirq,irq,Tangerines,43787253
Asia,as,Israel,asisr,isr,Tangerines,4343
Asia,as,Jordan,asjor,jor,Tangerines,1192616
Asia,as,Japan,asjpn,jpn,Tangerines,28166941
Asia,as,Kazakhstan,askaz,kaz,Tangerines,4152605
Asia,as,Kyrgyzstan,askgz,kgz,Tangerines,7954704
Asia,as,Cambodia,askhm,khm,Tangerines,794777
Asia,as,South Korea,askor,kor,Tangerines,1463320
Asia,as,Kuwait,askwt,kwt,Tangerines,10573049
Asia,as,Laos,aslao,lao,Tangerines,1509381
Asia,as,Lebanon,aslbn,lbn,Tangerines,4955
Asia,as,Sri Lanka,aslka,lka,Tangerines,4634852
Asia,as,Macau,asmac,mac,Tangerines,957091
Asia,as,Maldives,asmdv,mdv,Tangerines,1121261
Asia,as,Burma,asmmr,mmr,Tangerines,61603649
Asia,as,Mongolia,asmng,mng,Tangerines,2460292
Asia,as,Malaysia,asmys,mys,Tangerines,83027083
Asia,as,Nepal,asnpl,npl,Tangerines,6225
Asia,as,Oman,asomn,omn,Tangerines,30850963
Asia,as,Philippines,asphl,phl,Tangerines,138100407
Asia,as,Qatar,asqat,qat,Tangerines,9938891
Asia,as,Saudi Arabia,assau,sau,Tangerines,37196291
Asia,as,Singapore,assgp,sgp,Tangerines,32543104
Asia,as,Syria,assyr,syr,Tangerines,3837502
Asia,as,Thailand,astha,tha,Tangerines,136197593
Asia,as,Tajikistan,astjk,tjk,Tangerines,213076
Asia,as,Turkmenistan,astkm,tkm,Tangerines,839883
Asia,as,Timor-Leste,astls,tls,Tangerines,175486
Asia,as,Turkey,astur,tur,Tangerines,10457727
Asia,as,Uzbekistan,asuzb,uzb,Tangerines,11618430
Asia,as,Vietnam,asvnm,vnm,Tangerines,27102092
Asia,as,Chinese Taipei,asxxb,,Tangerines,9429477
Asia,as,Yemen,asyem,yem,Tangerines,988347
Asia,as,Afghanistan,asafg,afg,Ginger,775289
Asia,as,United Arab Emirates,asare,are,Ginger,56912113
Asia,as,Armenia,asarm,arm,Ginger,351666
Asia,as,Azerbaijan,asaze,aze,Ginger,620799
Asia,as,Bangladesh,asbgd,bgd,Ginger,64831431
Asia,as,Bahrain,asbhr,bhr,Ginger,2640818
Asia,as,Brunei,asbrn,brn,Ginger,1250921
Asia,as,Bhutan,asbtn,btn,Ginger,5879
Asia,as,China,aschn,chn,Ginger,13503058
Asia,as,Christmas Island,ascxr,cxr,Ginger,83
Asia,as,Cyprus,ascyp,cyp,Ginger,584128
Asia,as,Georgia,asgeo,geo,Ginger,447846
Asia,as,Hong Kong,ashkg,hkg,Ginger,1931237
Asia,as,Indonesia,asidn,idn,Ginger,6510305
Asia,as,India,asind,ind,Ginger,15483040
Asia,as,Iran,asirn,irn,Ginger,7034768
Asia,as,Iraq,asirq,irq,Ginger,3017176
Asia,as,Israel,asisr,isr,Ginger,6113107
Asia,as,Jordan,asjor,jor,Ginger,2707423
Asia,as,Japan,asjpn,jpn,Ginger,98890742
Asia,as,Kazakhstan,askaz,kaz,Ginger,435738
Asia,as,Kyrgyzstan,askgz,kgz,Ginger,544233
Asia,as,Cambodia,askhm,khm,Ginger,129986
Asia,as,South Korea,askor,kor,Ginger,10166301
Asia,as,Kuwait,askwt,kwt,Ginger,10587854
Asia,as,Laos,aslao,lao,Ginger,1130228
Asia,as,Lebanon,aslbn,lbn,Ginger,1095332
Asia,as,Sri Lanka,aslka,lka,Ginger,21822
Asia,as,Macau,asmac,mac,Ginger,465862
Asia,as,Maldives,asmdv,mdv,Ginger,1177559
Asia,as,Burma,asmmr,mmr,Ginger,162731
Asia,as,Mongolia,asmng,mng,Ginger,90643
Asia,as,Malaysia,asmys,mys,Ginger,42320790
Asia,as,Nepal,asnpl,npl,Ginger,1530728
Asia,as,Oman,asomn,omn,Ginger,7536758
Asia,as,Pakistan,aspak,pak,Ginger,83857364
Asia,as,Philippines,asphl,phl,Ginger,10918541
Asia,as,Palestine,aspse,pse,Ginger,436601
Asia,as,Qatar,asqat,qat,Ginger,6298405
Asia,as,Saudi Arabia,assau,sau,Ginger,33506052
Asia,as,Singapore,assgp,sgp,Ginger,13141765
Asia,as,Syria,assyr,syr,Ginger,1328319
Asia,as,Thailand,astha,tha,Ginger,8715358
Asia,as,Tajikistan,astjk,tjk,Ginger,33499
Asia,as,Turkmenistan,astkm,tkm,Ginger,34877
Asia,as,Timor-Leste,astls,tls,Ginger,10250
Asia,as,Turkey,astur,tur,Ginger,5629309
Asia,as,Uzbekistan,asuzb,uzb,Ginger,224154
Asia,as,Vietnam,asvnm,vnm,Ginger,30051525
Asia,as,Chinese Taipei,asxxb,,Ginger,1538251
Asia,as,Yemen,asyem,yem,Ginger,15078062
Asia,as,United Arab Emirates,asare,are,Artichokes,72046
