index,year,region_id,region,artisan,livestock_fisher_miner_quarry,driver,house_worker,manager_administrator_professional,salesperson,service_worker,worker,total,total_pea_thousands
54,2006,1,Amazonas,5.38904,62.87711,2.79725,1.68437,7.27575,9.86031,5.43581,3.10182,100,203.2
55,2006,2,Ancash,10.17387,42.73078,3.24114,2.24911,8.23694,12.52649,11.67301,5.7575,100,551.7
56,2006,3,Apurimac,3.71432,65.1655,1.58641,1.70839,5.97051,11.98925,4.5011,2.50465,100,228.2
57,2006,4,Arequipa,11.45244,19.06464,5.8416,3.41164,15.3896,18.58712,14.37,3.81844,100,568.3
58,2006,5,Ayacucho,4.5983,64.86365,1.90933,1.54522,5.82883,11.18637,5.51366,2.71402,100,312.5
59,2006,6,Cajamarca,9.86207,62.4888,2.58878,1.29455,5.65115,10.13344,4.67143,2.02032,100,816.9
60,2006,7,Callao,16.37852,0.97194,6.54644,6.35116,11.51088,19.24254,21.63016,6.09812,100,349
61,2006,8,Cusco,6.8035,51.11069,2.60734,2.64258,9.9601,11.85861,9.13984,2.90206,100,677.6
62,2006,9,Huancavelica,1.47184,78.04586,0.50023,0.93196,4.23864,7.7919,3.5059,1.56749,100,217.8
63,2006,10,Huanuco,3.67611,64.5434,3.50757,2.34363,6.00992,10.57723,6.27653,1.79941,100,405.1
64,2006,11,Ica,12.39748,24.87514,5.34676,4.04726,11.04384,18.06919,16.39397,3.68123,100,333.9
65,2006,12,Junin,6.48386,47.29566,3.25638,1.6066,11.73573,15.34057,8.52238,2.43044,100,625.4
66,2006,13,La Libertad,10.9959,33.81356,6.22158,3.12181,8.79377,19.21589,11.67431,2.75697,100,770.6
67,2006,14,Lambayeque,9.4002,27.75217,6.96124,3.47045,10.11446,19.76434,13.88157,3.95828,100,524.1
68,2006,15,Lima,15.05829,5.19326,6.43867,7.13581,15.95572,20.87113,16.4708,3.63049,100,4067.4
69,2006,16,Loreto,7.38499,39.04161,3.74085,2.96826,11.81261,17.31363,9.73493,3.56779,100,432.6
70,2006,17,Madre de Dios,7.32572,24.49993,8.99106,1.86881,15.79681,17.60444,17.82266,1.89796,100,56.4
71,2006,18,Moquegua,7.13079,33.17848,6.46614,1.45,10.95213,13.17542,12.02124,8.65386,100,87.2
72,2006,19,Pasco,6.831,45.46819,4.29497,1.92152,9.41148,14.13673,10.25728,4.9489,100,123.5
73,2006,20,Piura,10.42814,34.29258,4.93622,3.08254,7.75387,18.05392,14.48974,3.84362,100,761.9
74,2006,21,Puno,8.92071,55.65796,2.18931,1.15175,7.23095,14.19651,4.67848,3.73641,100,727.7
75,2006,22,San Martin,5.67324,58.09877,3.60373,2.19641,6.06586,10.15155,8.43074,2.64072,100,375.4
76,2006,23,Tacna,7.43972,17.90595,6.39673,2.62213,14.4786,23.75973,15.55382,4.85005,100,154.1
77,2006,24,Tumbes,7.80847,32.21441,4.26678,3.17559,9.67346,17.75317,14.35961,6.55951,100,111.9
78,2006,25,Ucayali,8.77623,28.79232,8.27451,3.39916,9.84802,15.4339,16.70135,4.70534,100,200.6
79,2007,0,Nacional,11.21962,28.51126,4.99761,3.63397,12.44487,16.84724,13.15464,3.76689,100,14197.2
80,2007,1,Amazonas,5.53429,63.90084,2.75994,1.71592,6.68353,9.79957,6.00375,1.71095,100,215.7
81,2007,2,Ancash,8.65806,41.82861,3.43943,1.50532,9.58816,14.03172,11.2156,5.69258,100,548.1
82,2007,3,Apurimac,3.31167,65.61495,1.93538,1.35225,7.4073,9.85618,6.25779,2.70134,100,230
83,2007,4,Arequipa,12.16136,19.88536,6.48444,3.14682,14.036,18.20212,17.38592,2.96554,100,600.3
84,2007,5,Ayacucho,4.64645,56.34508,2.51884,1.9683,9.0859,13.41393,6.47966,3.40046,100,309.1
85,2007,6,Cajamarca,9.14698,58.59911,2.32489,2.35729,6.76025,9.08428,6.38686,3.21704,100,795
86,2007,7,Callao,15.27577,1.57244,5.44527,4.30099,15.37609,20.1402,22.24738,4.9838,100,438.7
87,2007,8,Cusco,7.68381,47.65801,4.08156,1.849,10.4837,14.37797,6.27534,4.6767,100,648.6
88,2007,9,Huancavelica,2.03852,72.61835,1.0633,1.26842,3.84944,9.58073,5.39668,2.10825,100,226.4
89,2007,10,Huanuco,6.97943,56.41918,3.26043,1.83901,6.66655,11.74098,9.08194,2.36559,100,405.2
90,2007,11,Ica,11.7881,21.01642,5.97943,3.45623,12.17583,19.42397,15.77715,5.48812,100,345.1
91,2007,12,Junin,10.48122,35.95589,5.10371,1.83076,13.0197,16.88338,10.64717,2.54959,100,617.2
92,2007,13,La Libertad,11.17016,27.13106,5.36504,3.99075,12.52366,19.36252,12.83627,3.44585,100,790.6
93,2007,14,Lambayeque,12.95965,26.93213,7.07262,3.40094,10.56692,19.54869,11.6288,3.58682,100,571.5
94,2007,15,Lima,15.66462,4.19868,5.61923,6.42349,18.06494,19.54752,17.38546,3.74547,100,4286.1
95,2007,16,Loreto,6.42626,38.84698,4.04533,3.54476,8.22526,18.82811,13.59827,3.36105,100,461.6
96,2007,17,Madre de Dios,8.2051,26.56086,9.21176,1.56904,13.45459,16.37349,16.95619,3.67166,100,62
97,2007,18,Moquegua,8.67405,32.86279,5.00253,1.87417,8.24358,14.41974,13.58695,10.17782,100,89.4
98,2007,19,Pasco,5.22831,44.75919,5.38794,1.79813,10.55794,13.21482,10.61359,4.94903,100,127.7
99,2007,20,Piura,10.51288,32.41709,6.46073,2.45311,8.86368,17.52854,15.65582,2.54759,100,828.8
100,2007,21,Puno,9.90451,51.13584,3.82982,0.6419,8.27217,13.85026,6.17936,4.25531,100,713.3
101,2007,22,San Martin,6.69761,49.94877,4.79655,2.05402,8.52112,12.64775,8.8339,3.92929,100,393.3
102,2007,23,Tacna,8.29175,16.80094,5.12501,2.14596,13.83907,24.0943,14.87793,7.0908,100,155.5
103,2007,24,Tumbes,7.52197,20.2144,11.07146,2.76958,9.86063,20.49388,16.26201,6.27937,100,118.5
104,2007,25,Ucayali,9.91886,25.63987,7.61653,2.51265,10.5427,18.69709,15.05787,5.32542,100,219.4
105,2008,0,Nacional,11.36403,27.90217,5.7113,3.30249,12.12494,16.89307,12.33049,3.92569,100,14459.2
106,2008,1,Amazonas,4.83076,63.04037,2.87399,1.30634,6.73108,10.04739,6.21013,3.07697,100,215.1
107,2008,2,Ancash,7.75173,42.64374,4.47798,2.13971,7.92135,13.13516,12.1611,5.40805,100,573.6
108,2008,3,Apurimac,4.16932,63.00442,2.99797,0.62746,6.79591,10.30361,5.87182,3.50818,100,233.7
109,2008,4,Arequipa,12.83572,16.43133,6.5912,2.75401,15.78749,17.41386,16.43941,4.87904,100,588.7
110,2008,5,Ayacucho,4.67392,55.83125,3.03711,1.98817,7.43258,15.34847,6.50038,2.26879,100,321.7
111,2008,6,Cajamarca,10.69136,59.81252,2.23936,1.56408,6.24006,8.75863,5.65829,2.90519,100,823.9
112,2008,7,Callao,16.18727,0.97091,6.84316,3.99347,13.89426,18.79966,19.76213,5.62504,100,444.1
113,2008,8,Cusco,8.15168,46.85251,3.13284,1.41333,9.2715,14.76038,6.89914,5.6624,100,683.7
114,2008,9,Huancavelica,2.20639,71.82568,0.76199,1.47845,5.33362,9.06229,5.54977,2.4806,100,229.5
115,2008,10,Huanuco,6.47326,57.26585,3.30672,2.4535,6.94426,10.58603,8.68491,2.34278,100,411.6
116,2008,11,Ica,13.67224,21.29209,7.45722,2.51739,12.41498,19.1795,13.84309,5.19971,100,358.8
117,2008,12,Junin,11.65309,37.70348,3.88269,1.53684,11.62335,15.2609,11.40008,3.2984,100,642.1
118,2008,13,La Libertad,12.41901,28.27257,5.58324,2.88513,10.97053,17.43448,12.43542,4.67699,100,807.8
119,2008,14,Lambayeque,10.72812,27.86041,7.44841,2.92904,9.26346,21.15223,11.96949,3.66436,100,574.4
120,2008,15,Lima,14.94042,3.66095,7.24735,5.99169,17.626,19.69066,16.13939,3.5335,100,4395
121,2008,16,Loreto,8.14512,32.54949,5.47399,2.8069,10.53884,19.15945,12.3412,4.247,100,442.1
122,2008,17,Madre de Dios,7.19971,26.49586,10.31123,0.42297,14.18487,18.49912,14.05112,4.05374,100,64.5
123,2008,18,Moquegua,10.39239,29.01692,6.59754,1.02716,9.91919,13.86552,11.29803,11.35115,100,87.2
124,2008,19,Pasco,6.8012,46.17551,3.77677,1.64273,10.67654,12.81477,9.38626,4.44512,100,127.1
125,2008,20,Piura,10.19987,32.01018,7.3989,2.60959,9.62711,18.94123,12.11776,3.62214,100,813.5
126,2008,21,Puno,9.96366,48.27588,4.52695,1.03694,8.31348,15.91087,5.90391,3.46838,100,717.7
127,2008,22,San Martin,7.46521,46.8368,5.99647,1.99245,8.87479,14.02601,7.75608,3.76134,100,392.2
128,2008,23,Tacna,11.57611,15.02175,4.85269,1.30878,13.85993,21.9005,17.54651,5.1429,100,164.6
129,2008,24,Tumbes,9.41402,20.58076,9.62499,1.3157,11.01805,22.4484,17.03139,4.02754,100,114.7
130,2008,25,Ucayali,11.25679,26.2805,7.77128,2.75899,9.19349,19.01844,13.68888,4.18326,100,231.8
131,2009,0,Nacional,10.96753,27.26546,5.59378,3.22258,12.62928,16.13277,13.89689,3.95863,100,14757.7
132,2009,1,Amazonas,4.9475,59.54841,4.35944,1.24215,7.464,11.65451,5.27569,2.6299,100,220.3
133,2009,2,Ancash,9.81023,37.87073,4.64659,1.95594,10.05317,14.2274,11.05466,6.41772,100,564.9
134,2009,3,Apurimac,3.80502,63.46829,2.02221,1.21443,7.08112,12.17723,3.90307,2.99396,100,226.8
